City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
0,Kualakapuas,ID,-3.0091,114.3876,74.84,96,99,2.46,overcast clouds
1,Avarua,CK,-21.2078,-159.775,75.25,83,75,11.5,broken clouds
2,Bredasdorp,ZA,-34.5322,20.0403,54.36,64,100,7.85,overcast clouds
3,Hithadhoo,MV,-0.6,73.0833,81.09,74,100,7.18,overcast clouds
4,Adrar,MR,20.5022,-10.0711,98.38,28,59,3.0,light rain
5,Port Alfred,ZA,-33.5906,26.891,65.5,67,49,3.33,scattered clouds
6,Salalah,OM,17.0151,54.0924,78.89,89,75,9.22,broken clouds
7,Tuktoyaktuk,CA,69.4541,-133.0374,56.37,71,86,6.8,overcast clouds
8,Hermanus,ZA,-34.4187,19.2345,57.79,68,92,11.77,overcast clouds
9,Mocuba,MZ,-16.8392,36.9856,68.58,72,31,6.49,scattered clouds
10,Busselton,AU,-33.65,115.3333,58.93,81,29,17.07,scattered clouds
11,Jamestown,US,42.097,-79.2353,82.94,70,4,1.99,clear sky
12,Bambous Virieux,MU,-20.3428,57.7575,71.22,76,36,17.58,light rain
13,Ambilobe,MG,-13.2,49.05,70.54,69,74,5.17,broken clouds
14,Rikitea,PF,-23.1203,-134.9692,72.61,75,99,7.7,overcast clouds
15,Eston,CA,51.1501,-108.7514,72.66,42,100,15.75,overcast clouds
16,Dikson,RU,73.5069,80.5464,53.29,73,100,10.83,overcast clouds
17,Sioux Lookout,CA,50.1001,-91.917,66.78,66,57,7.23,broken clouds
18,Ushuaia,AR,-54.8,-68.3,35.26,93,100,32.21,sleet
19,Bodaybo,RU,57.8506,114.1933,63.28,95,100,3.04,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,34.48,98,16,2.95,few clouds
21,Vaini,TO,-21.2,-175.2,71.76,88,40,5.75,scattered clouds
22,Novopavlovka,RU,51.2172,109.2091,58.53,96,100,3.11,overcast clouds
23,Isangel,VU,-19.55,169.2667,75.92,87,100,10.51,overcast clouds
24,Souillac,MU,-20.5167,57.5167,70.11,79,28,15.75,scattered clouds
25,Fort Nelson,CA,58.8053,-122.7002,67.28,43,12,2.73,few clouds
26,Faanui,PF,-16.4833,-151.75,77.65,74,13,10.29,few clouds
27,San Carlos De Bariloche,AR,-41.1456,-71.3082,34.25,93,100,6.91,heavy snow
28,Makasar,ID,-5.14,119.4221,75.25,100,20,3.44,few clouds
29,Onverwacht,SR,5.5833,-55.1833,87.8,68,40,3.44,scattered clouds
30,Parakai,NZ,-36.65,174.4333,48.15,89,84,7.25,broken clouds
31,Saint-Pierre,RE,-21.3393,55.4781,69.48,68,20,5.75,few clouds
32,Albany,US,42.6001,-73.9662,92.43,41,7,1.01,clear sky
33,Launceston,AU,-41.45,147.1667,53.24,76,75,13.8,light rain
34,Klyuchi,RU,52.2667,79.1667,66.06,61,54,8.55,broken clouds
35,Chokurdakh,RU,70.6333,147.9167,38.66,78,77,12.55,broken clouds
36,Hobart,AU,-42.8794,147.3294,49.86,76,75,8.05,broken clouds
37,Paengaroa,NZ,-37.8167,176.4167,41.09,78,78,7.31,broken clouds
38,Velikiy Ustyug,RU,60.7644,46.3106,66.85,75,72,4.81,broken clouds
39,Tiksi,RU,71.6872,128.8694,43.27,82,52,5.64,broken clouds
40,San Pedro Del Parana,PY,-26.8333,-56.2,81.07,50,69,7.67,broken clouds
41,Taitung,TW,22.7583,121.1444,82.67,79,69,5.37,broken clouds
42,Saldanha,ZA,-33.0117,17.9442,57.25,85,100,3.74,overcast clouds
43,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,0,13.8,clear sky
