City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
1,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
3,Hithadhoo,MV,81.09,overcast clouds,-0.6,73.0833,Scoop Guest House
6,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
11,Jamestown,US,82.94,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
23,Isangel,VU,75.92,overcast clouds,-19.55,169.2667,Tanna Lodge
26,Faanui,PF,77.65,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
28,Makasar,ID,75.25,few clouds,-5.14,119.4221,Aryaduta Makassar
29,Onverwacht,SR,87.8,scattered clouds,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
40,San Pedro Del Parana,PY,81.07,broken clouds,-26.8333,-56.2,Hotel Oasis
41,Taitung,TW,82.67,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
43,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
47,San Patricio,US,93.06,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
50,Ponta Do Sol,PT,75.83,clear sky,32.6667,-17.1,Hotel do Campo
51,La Macarena,CO,89.08,scattered clouds,2.1837,-73.7849,Casa Hotel Real
54,Non Thai,TH,81.03,overcast clouds,15.1981,102.0358,ครัวพี่หนุ่ม สงต่อน
55,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
56,Hilo,US,77.29,mist,19.7297,-155.09,Hilo Hawaiian Hotel
63,Kasangulu,CD,83.91,overcast clouds,-4.5911,15.1708,Hôtel le Relais
69,Ocos,GT,82.54,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
70,Bathsheba,BB,85.05,clear sky,13.2167,-59.5167,Atlantis Hotel
71,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
73,Eyl,SO,77.94,overcast clouds,7.9803,49.8164,Amiin Hotel
79,Benito Juarez,MX,77.94,broken clouds,19.385,-99.165,Hotel Beverly
80,Tual,ID,77.38,broken clouds,-5.6667,132.75,Grand Vilia Hotel
81,Cockburn Town,TC,78.96,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
82,Kutum,SD,87.4,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
85,Bengkulu,ID,75.81,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
86,Hamilton,US,91.74,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
88,Touros,BR,82.2,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
91,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
92,Dicabisagan,PH,79.81,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
94,Qui Nhon,VN,77.79,overcast clouds,13.7667,109.2333,Seagull Hotel
95,Broome,US,87.19,clear sky,42.2506,-75.833,Chenango Valley State Park
